,k,m,sigma_obs,delta,beta
08-22,0.0320289,0.904088,0.0150534,"[-7.54126e-09  1.79413e-09 -4.06329e-08 -5.27530e-09 -2.50975e-08
 -3.65445e-08 -2.16663e-08 -6.70214e-02 -4.88966e-02 -4.51198e-09
  1.12160e-04  2.73963e-02  4.99994e-03  2.95541e-07  1.99962e-09
  2.66104e-02  4.73595e-02  2.89576e-02  1.19224e-07  6.11364e-06
  1.26061e-08 -3.54792e-08 -2.79876e-03 -3.15562e-09  4.36701e-08]","[ 4.00699e-03  2.73528e-03 -5.32551e-03 -8.30101e-04  6.80449e-05
  5.58917e-05 -7.56821e-04 -4.39506e-03  7.31707e-04  2.54794e-03
 -2.63806e-04 -6.24487e-04 -3.24259e-04 -3.24939e-04]"
08-23,0.032752,0.904256,0.0156333,"[ 3.39901e-09 -1.89476e-08 -8.44687e-08 -4.38922e-08 -3.36029e-08
 -9.16838e-11 -4.05701e-02 -5.01375e-02 -1.73514e-02 -1.18155e-08
  9.06996e-03  7.73009e-03  4.88827e-08  3.67500e-08  2.51808e-02
  4.28632e-02  3.59599e-02  1.13070e-02  2.26668e-08  2.12043e-08
 -3.45726e-03 -1.09435e-03 -3.80014e-08 -1.11302e-08 -2.06430e-08]","[ 3.89529e-03  2.50340e-03 -5.09087e-03 -7.47664e-04 -2.30469e-04
  2.89238e-04 -1.74120e-03 -3.95388e-03  1.46242e-04  3.30555e-03
 -3.21414e-04 -4.14196e-04 -2.90159e-04 -4.70122e-05]"
08-24,0.0114895,0.90847,0.0163504,"[-4.70618e-08 -1.74231e-04 -7.74085e-03 -1.49993e-03 -6.61220e-08
 -6.24615e-08 -3.73470e-02 -1.44994e-02 -4.63665e-08  6.72256e-08
 -2.50739e-08  1.29120e-08  7.33234e-09 -1.47931e-09  2.08564e-07
  4.30453e-02  3.60731e-02  5.10753e-02  1.69144e-02  3.48515e-09
 -8.46344e-03 -9.03332e-08 -1.08316e-08 -1.51037e-07 -1.69923e-01]","[ 0.00090719  0.0001841  -0.0038307  -0.00244607  0.00134697 -0.00048741
 -0.00226378 -0.00319058  0.00015966  0.00388253 -0.00037601  0.00014711
 -0.00046186  0.00027983]"
08-25,0.0014808,0.909315,0.0170272,"[ 2.78565e-08 -4.66389e-08 -1.46138e-08 -3.79522e-08 -1.65390e-08
 -3.80083e-08 -3.93582e-02 -2.01547e-02 -6.28880e-06 -1.58927e-10
 -3.10116e-08  2.54447e-10  1.01138e-08  1.55775e-02  5.24769e-02
  4.32566e-02  2.79544e-02  3.05209e-03 -1.11026e-08 -2.81790e-02
 -3.87123e-09 -3.13547e-09 -2.24616e-08 -5.86791e-02 -3.10144e-02]","[ 3.06493e-03  5.68878e-05 -2.89756e-03 -2.67307e-03  2.50642e-03
 -1.17745e-03 -2.40914e-03 -4.40789e-03  4.97367e-05  3.40259e-03
 -2.61912e-04 -1.71596e-05 -4.68837e-04  6.00853e-04]"
08-26,0.00380871,0.909042,0.0175296,"[-2.28662e-08 -2.64864e-08 -3.03797e-08 -2.41739e-08 -5.51258e-08
 -1.91736e-02 -4.07531e-02 -6.88829e-08 -2.48051e-09  2.51800e-08
  2.32109e-08  9.17776e-09 -8.00737e-09  3.58926e-02  5.23813e-02
  3.20093e-02  2.09883e-02  1.16181e-08 -5.52950e-03 -2.94419e-08
 -1.11366e-09 -1.52748e-09 -8.58590e-02 -6.04685e-02  1.11330e-08]","[ 2.22136e-03  8.74026e-04 -2.57399e-03 -2.18205e-03  3.05874e-03
 -1.43681e-03 -1.40272e-03 -4.55066e-03 -4.34379e-04  3.23396e-03
 -4.01473e-05 -3.21016e-04 -6.05585e-04  5.23774e-05]"
08-27,-0.00477328,0.910124,0.0182837,"[-5.16475e-08 -1.93195e-08 -9.20620e-08 -2.28829e-07 -6.91465e-09
 -2.08008e-02 -2.86156e-02  1.86591e-08 -1.62997e-08  2.44216e-08
  1.92352e-08  3.23999e-08  8.83978e-07  7.00825e-02  4.48230e-02
  2.12307e-02  2.47928e-08 -8.04823e-03 -2.74368e-04  3.58510e-08
 -2.40164e-05 -8.73900e-02 -3.35692e-02 -1.78754e-07 -1.38000e-06]","[ 2.17762e-03 -9.60699e-05 -3.20073e-03 -1.68573e-03  3.93287e-03
 -1.19545e-03 -1.07748e-03 -5.30028e-03 -1.22919e-03  2.40842e-03
  5.53924e-04 -6.45840e-04 -6.00702e-04  4.89268e-04]"
08-28,-0.0154369,0.911623,0.0186097,"[-2.18298e-08 -8.12915e-08 -1.66587e-03 -2.61543e-06 -2.80313e-07
 -9.25601e-03 -2.81631e-02 -2.32733e-08 -1.59084e-08 -6.70348e-09
 -7.86583e-09  1.41961e-08  2.45915e-08  9.89337e-02  6.02298e-02
  6.76817e-07 -1.56942e-08 -4.34424e-02 -9.49688e-08 -8.92310e-03
 -9.38484e-02  7.86339e-09  6.71278e-08  5.79290e-10  6.30063e-02]","[ 0.00101415 -0.00192319 -0.00301401 -0.00037691  0.00410195 -0.00236454
 -0.00110019 -0.0057305  -0.0011218   0.00272743  0.00039944 -0.00042746
 -0.00095302  0.00036772]"
08-29,-0.00979861,0.911148,0.0186911,"[-1.40843e-08 -3.32855e-08 -4.29536e-03 -6.98945e-03 -6.36479e-04
 -2.88846e-02 -1.54502e-07 -4.94481e-08 -1.70141e-08 -5.02996e-09
 -8.75550e-09  4.44464e-08  3.47308e-02  6.62373e-02  5.48040e-02
 -7.53240e-09  8.66782e-09 -3.67731e-08 -7.55100e-03 -1.30502e-01
 -5.84658e-02 -3.15465e-08 -4.06011e-08 -1.05229e-09  2.04555e-01]","[-0.00049892 -0.00050446 -0.00262561 -0.00091896  0.00405824 -0.00167472
 -0.00103379 -0.00570769 -0.00031911  0.00227227  0.00081898 -0.00030456
 -0.00093954  0.00041188]"
08-30,-0.0222892,0.912138,0.0189813,"[-1.01962e-08 -2.65441e-08 -2.33615e-06 -1.05739e-05 -1.21338e-04
 -2.92214e-02 -3.34894e-04 -3.25049e-08 -1.52920e-07 -3.15803e-08
  1.73014e-08  8.17395e-08  8.11761e-02  7.26057e-02 -1.03130e-09
 -1.39274e-03 -3.14757e-03 -4.86872e-08 -7.81483e-02 -8.78448e-02
  4.04756e-09  9.90509e-09 -6.70755e-09  5.73070e-02  1.13143e-01]","[ 0.00041897 -0.00117037 -0.00214456 -0.00050897  0.00380926 -0.00126561
 -0.00086024 -0.00515872  0.00016526  0.00219128  0.00064608 -0.00082774
 -0.00065032  0.00091502]"
08-31,-0.0374812,0.914158,0.0196433,"[-9.46692e-07 -1.23718e-07 -2.01809e-07 -3.37765e-07 -6.12940e-06
 -1.03972e-02 -2.52113e-05 -5.53718e-03 -1.65451e-03 -1.18349e-05
  7.19546e-08  4.85396e-02  7.61463e-02  4.34757e-02 -5.76700e-10
 -3.59848e-02 -6.67191e-06 -3.97538e-02 -7.05211e-02  9.36229e-08
  1.58762e-07 -1.62127e-08  2.31624e-02  5.27492e-02  6.00727e-07]","[ 0.00028425 -0.00301458 -0.00145672 -0.00145961  0.00486897 -0.00146805
 -0.00127431 -0.00431055  0.00046918  0.00177067  0.00107088 -0.00096424
 -0.00079885  0.00102168]"
